"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","014","BOROUGH PRESIDENT STATEN ISLAND","001","PERSONAL SERVICES","N","5,147,753","5,147,753","5,147,753","48","48","48","0","0","0"
"20260512","2027","014","BOROUGH PRESIDENT STATEN ISLAND","002","OTHER THAN PERSONAL SERVICES","N","2,320,819","3,370,819","2,361,942","0","0","0","63","64","63"
"20260512","2027","014","BOROUGH PRESIDENT STATEN ISLAND","002","OTHER THAN PERSONAL SERVICES","Y","-1,348,145","-1,197,164","-1,348,145","0","0","0","0","0","0"
"20260217","2027","014","BOROUGH PRESIDENT STATEN ISLAND","002","OTHER THAN PERSONAL SERVICES","N","2,320,819","2,320,819","2,022,919","0","0","0","63","64","63"
"20260217","2027","014","BOROUGH PRESIDENT STATEN ISLAND","002","OTHER THAN PERSONAL SERVICES","Y","-1,348,145","-1,348,145","-1,348,145","0","0","0","0","0","0"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","001","EXECUTIVE MANAGEMENT-PS","N","3,312,258","3,312,258","3,314,136","23","23","23","0","0","0"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","001","EXECUTIVE MANAGEMENT-PS","N","3,312,258","3,312,258","3,314,136","23","23","23","0","0","0"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","002","FIRST DEPUTY COMPT-PS","N","47,292,243","46,668,615","47,462,483","453","453","453","0","0","0"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","002","FIRST DEPUTY COMPT-PS","N","47,292,243","47,292,243","47,456,883","453","453","453","0","0","0"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","003","SECOND DEPUTY COMPT-PS","N","17,556,193","17,346,826","17,636,867","168","168","168","0","0","0"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","003","SECOND DEPUTY COMPT-PS","N","17,556,193","17,556,193","17,627,667","168","168","168","0","0","0"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","004","THIRD DEPUTY COMPT-PS","N","19,978,456","19,978,456","19,991,009","139","139","139","0","0","0"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","004","THIRD DEPUTY COMPT-PS","N","19,978,456","19,978,456","19,991,009","139","139","139","0","0","0"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","005","FIRST DEPUTY COMPT-OTPS","N","12,509,150","13,134,607","13,003,351","0","0","0","13","14","13"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","005","FIRST DEPUTY COMPT-OTPS","N","12,509,150","12,510,979","12,533,304","0","0","0","13","14","13"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","006","EXECUTIVE MANAGEMENT-OTPS","N","295,916","294,237","295,916","0","0","0","7","8","7"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","006","EXECUTIVE MANAGEMENT-OTPS","N","295,916","294,237","295,916","0","0","0","7","7","7"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","007","SECOND DEPUTY COMPT-OTPS","N","4,187,492","8,985,689","6,470,472","0","0","0","10","11","10"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","007","SECOND DEPUTY COMPT-OTPS","N","4,187,492","6,470,322","6,470,472","0","0","0","10","11","10"
"20260512","2027","015","OFFICE OF THE COMPTROLLER","008","THIRD DEPUTY COMPT-OTPS","N","21,896,422","21,896,422","22,328,250","0","0","0","48","48","48"
"20260217","2027","015","OFFICE OF THE COMPTROLLER","008","THIRD DEPUTY COMPT-OTPS","N","21,896,422","21,896,422","22,328,250","0","0","0","48","48","48"
"20260512","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","001","PERSONAL SERVICES","N","29,810,396","32,505,003","14,925,473","213","242","99","0","0","0"
"20260217","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","001","PERSONAL SERVICES","N","29,810,396","33,010,003","14,860,273","213","241","99","0","0","0"
"20260512","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","002","OTHER THAN PERSONAL SERVICES","N","50,957,467","57,191,371","31,312,282","0","0","0","7","8","7"
"20260512","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","002","OTHER THAN PERSONAL SERVICES","Y","6,000","-1,100,000","0","0","0","0","0","0","0"
"20260217","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","002","OTHER THAN PERSONAL SERVICES","N","50,957,467","54,853,399","30,043,758","0","0","0","7","7","7"
"20260217","2027","017","DEPARTMENT OF EMERGENCY MANAGEMENT","002","OTHER THAN PERSONAL SERVICES","Y","6,000","-650,000","0","0","0","0","0","0","0"
"20260512","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","001","PERSONAL SERVICES","Y","-126,497","-126,497","-463,497","-2","-2","-5","0","0","0"
"20260512","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","001","PERSONAL SERVICES","N","6,039,433","6,395,350","6,487,900","43","46","46","0","0","0"
"20260217","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","001","PERSONAL SERVICES","Y","-126,497","-126,497","-126,497","-2","-2","-2","0","0","0"
"20260217","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","001","PERSONAL SERVICES","N","6,039,433","6,477,590","6,487,900","43","46","46","0","0","0"
"20260512","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","002","OTHER THAN PERSONAL SERVICE","N","244,195","326,435","241,195","0","0","0","3","4","3"
"20260512","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","002","OTHER THAN PERSONAL SERVICE","Y","-65,000","-65,000","-65,000","0","0","0","1","1","1"
"20260217","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","002","OTHER THAN PERSONAL SERVICE","N","244,195","244,195","244,195","0","0","0","3","4","3"
"20260217","2027","021","OFFICE OF ADMINISTRATIVE TAX APPEALS","002","OTHER THAN PERSONAL SERVICE","Y","-65,000","-65,000","-65,000","0","0","0","1","1","1"
"20260512","2027","025","LAW DEPARTMENT","001","PERSONAL SERVICES","Y","-14,281,903","0","14,300,466","-309","0","297","0","0","0"
"20260512","2027","025","LAW DEPARTMENT","001","PERSONAL SERVICES","N","195,109,094","180,015,191","199,787,299","1,819","1,612","1,510","0","0","0"
"20260217","2027","025","LAW DEPARTMENT","001","PERSONAL SERVICES","Y","-14,281,903","0","20,072,584","-309","0","300","0","0","0"
"20260217","2027","025","LAW DEPARTMENT","001","PERSONAL SERVICES","N","195,109,094","176,228,191","199,787,299","1,819","1,510","1,510","0","0","0"
"20260512","2027","025","LAW DEPARTMENT","002","OTHER THAN PERSONAL SERVICES","N","77,597,106","147,213,089","102,403,407","0","0","0","430","429","430"
"20260512","2027","025","LAW DEPARTMENT","002","OTHER THAN PERSONAL SERVICES","Y","18,390,000","0","30,301,330","0","0","0","0","0","0"
"20260217","2027","025","LAW DEPARTMENT","002","OTHER THAN PERSONAL SERVICES","N","77,597,106","114,675,699","99,147,201","0","0","0","430","429","430"
"20260217","2027","025","LAW DEPARTMENT","002","OTHER THAN PERSONAL SERVICES","Y","18,390,000","-10,000,000","26,090,000","0","0","0","0","0","0"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","001","PERSONAL SERVICES","N","33,081,409","33,991,199","34,678,097","346","352","357","0","0","0"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","001","PERSONAL SERVICES","Y","268,582","268,582","4,105,270","-10","-10","25","0","0","0"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","001","PERSONAL SERVICES","N","33,081,409","33,685,124","34,418,303","346","346","355","0","0","0"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","001","PERSONAL SERVICES","Y","268,582","268,582","8,582","-10","-10","-13","0","0","0"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","002","OTHER THAN PERSONAL SERVICES","N","20,807,163","21,341,374","15,443,146","0","0","0","14","17","17"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","002","OTHER THAN PERSONAL SERVICES","Y","-205,450","-205,450","1,250,768","0","0","0","0","0","0"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","002","OTHER THAN PERSONAL SERVICES","Y","-205,450","-205,450","-372,000","0","0","0","0","0","0"
